Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
25,63,Yes,9,54,Yes,3,Public,Positive,2,No,High School,Near,Male,64
10,93,No,7,52,Yes,2,Public,Positive,3,No,Postgraduate,Near,Male,66
14,80,Yes,8,93,Yes,3,Private,Positive,4,No,High School,Near,Female,67
14,94,Yes,8,83,Yes,4,Public,Negative,5,Yes,Postgraduate,Near,Female,71
26,84,Yes,10,89,Yes,0,Private,Positive,1,No,High School,Far,Female,70
30,87,No,7,59,Yes,2,Public,Neutral,3,No,High School,Moderate,Male,69
19,100,No,6,66,Yes,0,Public,Neutral,3,No,,Moderate,Male,68
19,69,Yes,6,72,No,1,Public,Neutral,1,No,College,Near,Female,64
20,85,Yes,9,83,Yes,3,Public,Positive,3,Yes,College,Near,Male,70
27,78,Yes,5,77,Yes,0,Private,Neutral,3,No,Postgraduate,Near,Male,69
14,62,Yes,6,78,Yes,0,Public,Positive,2,No,College,Near,Female,63
21,61,No,7,58,Yes,1,Public,Negative,3,No,High School,Near,Female,60
26,65,No,7,74,Yes,2,Public,Negative,4,No,High School,Near,Female,65
23,86,No,8,91,Yes,0,Public,Negative,0,No,High School,Near,Male,67
21,83,No,5,75,Yes,1,Public,Negative,4,No,College,Near,Male,66
26,82,No,7,60,No,3,Public,Neutral,3,No,Postgraduate,Near,Female,68
4,61,Yes,7,71,Yes,0,Public,Positive,1,No,Postgraduate,Near,Male,58
24,79,Yes,5,88,Yes,0,Public,Neutral,3,No,High School,Moderate,Female,67
16,97,Yes,8,57,Yes,0,Public,Positive,4,Yes,,Near,Male,68
9,76,Yes,7,79,Yes,1,Public,Neutral,3,No,High School,Near,Female,62
23,85,No,7,98,No,2,Public,Negative,3,No,Postgraduate,Moderate,Female,69
28,91,Yes,6,69,Yes,1,Private,Neutral,4,No,High School,Far,Male,73
19,91,No,6,52,Yes,2,Public,Negative,4,Yes,High School,Moderate,Male,66
26,81,Yes,5,82,Yes,0,Public,Negative,5,Yes,Postgraduate,Near,Female,67
30,94,No,8,52,Yes,1,Public,Neutral,4,No,High School,Near,Female,71
28,76,Yes,9,60,Yes,1,Public,Neutral,2,No,High School,Far,Male,66
30,96,Yes,10,52,Yes,0,Public,Positive,4,No,College,Moderate,Female,74
24,70,No,8,59,Yes,2,Public,Positive,5,No,High School,Near,Male,67
20,71,No,6,93,Yes,2,Public,Negative,2,No,Postgraduate,Near,Male,68
10,62,No,6,87,Yes,2,Public,Neutral,3,No,High School,Near,Male,61
19,92,No,8,67,Yes,2,Private,Negative,2,No,High School,,Female,69
15,77,Yes,7,95,Yes,4,Public,Positive,4,No,High School,Moderate,Male,65
33,69,Yes,7,83,Yes,2,Public,Neutral,2,No,Postgraduate,Near,Male,71
19,69,No,7,72,Yes,1,Public,Positive,2,No,High School,Far,Female,61
21,96,Yes,9,53,Yes,0,Public,Neutral,3,No,College,Near,Male,70
23,93,No,6,87,Yes,2,Private,Neutral,3,No,High School,Moderate,Male,70
20,82,Yes,9,69,Yes,1,Public,Positive,3,No,College,Near,Male,69
30,85,Yes,7,65,Yes,2,Public,Negative,3,No,High School,Near,Female,70
16,79,Yes,6,64,Yes,4,Public,Positive,4,Yes,College,Near,Male,67
21,76,No,6,50,Yes,2,Public,Negative,4,No,Postgraduate,Moderate,Female,63
16,97,No,7,87,Yes,1,Public,Neutral,3,No,High School,Near,Female,70
12,65,No,8,57,Yes,1,Private,Positive,5,Yes,High School,Near,Female,61
16,77,Yes,6,76,Yes,1,Public,Neutral,1,No,Postgraduate,Moderate,Female,64
20,74,Yes,8,51,Yes,2,Public,Negative,3,No,College,Near,Male,65
17,80,No,6,81,Yes,1,Public,Neutral,1,No,College,Far,Male,65
16,78,Yes,7,68,Yes,3,Private,Positive,3,No,Postgraduate,Far,Female,66
12,81,Yes,5,82,Yes,1,Public,Positive,3,No,High School,Far,Female,66
20,66,Yes,8,54,Yes,2,Public,Positive,2,No,Postgraduate,Near,Male,63
11,81,Yes,7,63,Yes,3,Public,Neutral,2,No,Postgraduate,Near,Male,66
25,70,Yes,9,56,Yes,0,Public,Positive,1,No,High School,Far,Male,64
20,67,No,8,82,Yes,3,Public,Neutral,4,Yes,High School,Near,Male,65
11,63,No,7,55,Yes,3,Private,Positive,1,No,Postgraduate,Near,Male,62
18,91,Yes,9,81,Yes,4,Public,Neutral,5,No,High School,Moderate,Male,71
15,77,Yes,8,57,Yes,1,Public,Neutral,2,No,College,Near,Male,63
22,85,No,9,97,Yes,0,Public,Negative,3,No,College,Moderate,Male,70
28,89,Yes,6,71,Yes,2,Private,Neutral,4,No,College,Moderate,Male,70
9,87,No,8,56,Yes,1,Public,Positive,3,No,College,Moderate,Female,65
21,79,Yes,8,52,Yes,1,Public,Neutral,3,Yes,High School,Near,Female,66
19,76,Yes,5,66,Yes,2,Private,Positive,4,No,College,Near,Female,66
24,75,No,9,95,Yes,0,Public,Positive,2,No,College,Near,Male,68
21,86,No,5,57,Yes,1,Private,Negative,3,No,High School,Near,Male,68
15,80,Yes,5,90,Yes,4,Private,Neutral,3,No,High School,Near,Female,69
18,94,Yes,4,71,Yes,3,Public,Positive,3,No,College,Near,Female,71
15,95,Yes,8,90,Yes,2,Private,Negative,1,No,Postgraduate,Near,Male,69
26,67,Yes,5,94,Yes,0,Public,Positive,2,No,College,Near,Male,68
20,65,Yes,6,100,Yes,2,Public,Neutral,5,No,High School,Moderate,Male,67
31,85,No,8,53,Yes,2,Public,Positive,3,No,High School,Near,Male,72
20,72,Yes,7,90,Yes,2,Public,Neutral,3,No,High School,Near,Male,68
16,61,Yes,6,53,Yes,0,Public,Positive,4,Yes,High School,Moderate,Female,60
11,96,No,5,66,Yes,2,Public,Neutral,4,No,High School,Moderate,Male,68
9,69,Yes,7,82,Yes,1,Public,Positive,2,No,High School,Near,Female,65
10,97,No,8,72,Yes,0,Public,Neutral,3,No,Postgraduate,Moderate,Female,67
22,89,No,8,78,Yes,4,Private,Positive,3,No,High School,Near,Female,70
23,91,Yes,10,98,Yes,0,Private,Negative,3,No,High School,Near,Female,70
11,68,No,6,91,Yes,3,Public,Negative,2,No,College,Far,Female,61
25,69,Yes,5,68,Yes,2,Public,Positive,4,No,College,Far,Male,68
17,81,No,7,80,Yes,1,Public,Negative,3,No,Postgraduate,Near,Female,67
21,67,No,7,52,Yes,3,Public,Negative,3,Yes,High School,Moderate,Female,62
30,72,No,7,73,Yes,0,Public,Neutral,4,No,High School,Moderate,Male,66
25,73,Yes,6,80,Yes,3,Public,Positive,2,No,High School,Far,Female,69
18,66,Yes,4,86,Yes,2,Public,Negative,4,No,College,Near,Female,66
15,68,Yes,5,95,Yes,0,Public,Negative,5,No,College,Near,Female,64
7,92,No,8,64,Yes,1,Public,Neutral,4,No,Postgraduate,Near,Male,66
16,67,No,7,95,Yes,2,Public,Neutral,5,Yes,High School,Near,Male,63
19,61,Yes,8,83,Yes,1,Private,Negative,3,No,High School,Near,Male,62
14,85,Yes,8,54,Yes,1,Private,Negative,4,No,Postgraduate,Moderate,Male,65
19,99,No,8,69,Yes,0,Private,Negative,2,No,High School,Moderate,Male,68
20,73,Yes,8,74,Yes,1,Private,Negative,4,No,High School,Moderate,Male,65
19,65,Yes,7,68,Yes,1,Public,Neutral,4,No,College,Near,Female,63
16,83,Yes,7,56,Yes,3,Public,Negative,2,No,High School,Near,Male,68
21,96,Yes,4,78,Yes,2,Private,Positive,2,No,High School,Near,Male,72
23,91,No,6,57,Yes,2,Private,Positive,3,No,High School,Near,Male,69
13,85,No,6,96,Yes,1,Public,Positive,5,No,Postgraduate,Far,Male,66
28,73,Yes,7,93,Yes,2,Private,Neutral,3,No,College,Near,Male,68
19,82,No,6,74,Yes,1,Public,Neutral,2,No,High School,Moderate,Male,64
20,64,Yes,8,53,Yes,1,Public,Positive,2,No,High School,Near,Male,61
24,87,No,6,78,Yes,0,Public,Neutral,2,Yes,Postgraduate,Near,Male,67
21,89,Yes,9,80,Yes,0,Public,Neutral,3,No,Postgraduate,Moderate,Male,68
26,99,No,6,94,Yes,2,Public,Positive,3,No,High School,Near,Male,74
22,70,Yes,6,53,Yes,3,Public,Positive,2,No,High School,Near,Female,67
16,61,Yes,6,85,Yes,2,Private,Positive,3,No,High School,Near,Male,64
22,82,No,6,78,Yes,3,Public,Neutral,3,No,High School,Moderate,Male,69
13,88,Yes,9,59,Yes,0,Private,Negative,3,Yes,High School,Far,Female,63
21,92,No,7,56,Yes,0,Private,Neutral,4,No,High School,Moderate,Female,67
20,68,Yes,7,85,Yes,1,Public,Neutral,3,No,College,Far,Male,65
19,70,Yes,6,67,Yes,5,Public,Positive,4,No,Postgraduate,Moderate,Female,67
19,81,No,7,100,Yes,1,Private,Negative,5,No,Postgraduate,Moderate,Female,68
9,73,Yes,7,95,No,3,Private,Negative,3,No,Postgraduate,Near,Male,62
17,94,Yes,7,78,Yes,1,Public,Neutral,3,No,College,Near,Female,70
21,79,Yes,7,82,Yes,1,Public,Negative,3,No,High School,Near,Female,67
21,92,Yes,9,58,Yes,2,Public,Neutral,5,No,High School,Moderate,Female,89
14,83,Yes,7,95,Yes,1,Private,Neutral,2,Yes,High School,Near,Female,65
28,91,Yes,5,73,No,2,Public,Neutral,2,No,High School,Near,Female,69
15,73,No,7,76,Yes,2,Public,Positive,4,No,High School,Far,Female,64
26,93,No,6,94,Yes,6,Private,Negative,4,No,High School,Near,Female,74
23,71,No,8,50,Yes,0,Public,Positive,2,No,High School,Far,Female,64
16,82,No,7,75,Yes,0,Public,Negative,2,No,Postgraduate,Moderate,Female,64
31,69,Yes,9,81,Yes,2,Private,Negative,2,No,College,Near,Male,67
13,79,Yes,6,58,Yes,2,Public,Positive,4,No,College,Moderate,Male,63
26,73,Yes,7,53,Yes,3,Private,Neutral,5,No,High School,Moderate,Female,68
26,71,Yes,5,77,Yes,0,Public,Neutral,5,No,Postgraduate,Near,Male,66
16,99,Yes,7,77,Yes,0,Public,Neutral,3,Yes,High School,Moderate,Female,68
28,66,No,5,67,Yes,1,Private,Positive,1,No,Postgraduate,Moderate,Female,68
18,91,No,7,94,Yes,3,Private,Neutral,2,No,High School,Near,Female,69
22,99,No,7,65,Yes,3,Public,Neutral,3,No,Postgraduate,Near,Female,71
22,61,Yes,7,76,Yes,1,Public,Positive,3,No,College,Near,Female,65
19,88,Yes,8,59,Yes,2,Private,Neutral,4,No,High School,Near,Male,67
25,70,No,7,51,Yes,1,Public,Negative,4,No,College,Near,Female,65
25,62,No,5,71,Yes,0,Private,Positive,4,No,High School,Moderate,Male,65
10,76,No,6,76,Yes,1,Public,Negative,2,No,Postgraduate,Near,Male,80
28,97,Yes,7,88,Yes,2,Public,Neutral,2,No,High School,Moderate,Male,74
10,60,No,7,72,No,3,Public,Positive,3,No,High School,Near,Male,59
26,84,No,7,64,Yes,2,Public,Neutral,3,No,High School,Near,Male,69
27,80,Yes,9,80,Yes,0,Public,Neutral,2,Yes,High School,Moderate,Male,66
13,95,Yes,7,69,Yes,1,Public,Positive,2,Yes,Postgraduate,Moderate,Female,66
18,63,No,8,62,Yes,2,Public,Positive,4,No,High School,Near,Female,65
13,87,Yes,4,96,Yes,3,Public,Neutral,3,Yes,College,Near,Male,67
19,87,No,8,77,Yes,3,Private,Neutral,4,No,High School,Moderate,Male,69
18,87,Yes,10,60,Yes,2,Public,Positive,3,No,High School,Near,Female,68
25,98,Yes,9,84,Yes,1,Private,Neutral,2,No,Postgraduate,Near,Female,73
28,93,Yes,6,90,Yes,1,Public,Positive,2,Yes,High School,Near,Female,71
28,62,Yes,10,88,Yes,0,Public,Positive,2,Yes,Postgraduate,Moderate,Male,67
17,79,Yes,7,80,Yes,1,Public,Positive,3,No,College,Near,Female,67
19,76,No,7,76,Yes,0,Public,Neutral,2,No,Postgraduate,Near,Male,66
10,72,No,7,89,Yes,3,Public,Negative,4,No,College,Near,Female,63
15,78,No,7,85,No,1,Public,Negative,1,No,High School,Far,Male,65
26,75,Yes,4,79,Yes,2,Public,Negative,1,No,College,Near,Male,67
30,77,Yes,8,83,Yes,1,Public,Positive,3,No,College,Near,Male,69
13,99,Yes,7,58,Yes,1,Public,Neutral,2,No,High School,Near,Male,67
16,64,Yes,7,51,Yes,4,Public,Neutral,3,No,College,Near,Male,66
20,97,Yes,7,97,Yes,2,Private,Neutral,4,No,High School,Moderate,Female,74
22,79,No,6,97,No,2,Public,Positive,2,No,College,Moderate,Female,69
15,85,Yes,7,89,Yes,0,Public,Negative,4,No,College,Moderate,Female,66
23,93,Yes,9,69,Yes,0,Private,Positive,3,Yes,Postgraduate,Moderate,Male,69
17,74,Yes,8,58,Yes,1,Public,Neutral,2,No,College,Far,Male,63
20,77,Yes,7,68,No,0,Private,Positive,3,No,College,Near,Female,65
23,76,No,7,86,No,1,Private,Positive,4,No,College,Far,Male,64
20,75,No,7,67,Yes,0,Private,Neutral,4,No,High School,Near,Male,64
17,97,Yes,6,90,Yes,2,Public,Negative,2,No,High School,Moderate,Male,69
19,93,No,7,84,Yes,5,Public,Negative,3,No,High School,Near,Female,73
19,64,Yes,8,81,Yes,1,Public,Negative,3,Yes,High School,Moderate,Male,62
18,64,Yes,7,97,Yes,2,Private,Neutral,4,No,College,Near,Male,62
18,77,Yes,6,95,Yes,0,Private,Positive,2,No,Postgraduate,Moderate,Female,68
30,64,No,7,86,Yes,1,Private,Positive,3,No,Postgraduate,Far,Female,66
23,85,Yes,8,60,Yes,2,Public,Positive,1,Yes,College,Moderate,Female,68
18,66,Yes,5,97,Yes,4,Public,Neutral,4,No,High School,Moderate,Male,66
24,81,Yes,6,61,Yes,3,Public,Positive,3,No,Postgraduate,Near,Male,69
18,60,Yes,5,69,Yes,0,Public,Neutral,2,No,Postgraduate,Near,Female,62
27,73,No,7,91,Yes,2,Public,Neutral,4,No,College,Far,Female,68
22,87,No,8,60,Yes,2,Public,Negative,2,No,College,Moderate,Male,67
19,79,No,9,82,Yes,1,Private,Neutral,4,No,High School,Near,Male,65
23,99,No,9,73,Yes,0,Public,Negative,4,No,College,Near,Male,69
11,95,No,6,81,Yes,2,Public,Positive,3,No,High School,Near,Male,67
13,74,Yes,7,98,Yes,0,Public,Positive,3,No,Postgraduate,Near,Female,64
13,62,Yes,6,90,No,3,Private,Neutral,3,Yes,Postgraduate,Near,Female,62
21,94,Yes,9,65,Yes,5,Private,Neutral,3,Yes,High School,Near,Male,71
30,96,Yes,9,53,No,0,Private,Neutral,3,No,High School,Near,Male,72
33,93,Yes,7,98,Yes,0,Public,Negative,2,Yes,High School,Near,Female,74
24,65,No,6,79,Yes,1,Public,Neutral,2,No,Postgraduate,Near,Male,66
23,100,Yes,4,59,Yes,2,Public,Positive,4,No,High School,Near,Female,72
9,70,No,5,81,Yes,1,Private,Neutral,4,No,Postgraduate,Near,Female,65
17,89,Yes,4,52,Yes,0,Public,Positive,3,No,College,Far,Female,67
15,96,Yes,5,59,Yes,2,Private,Neutral,2,No,High School,Near,Male,70
16,69,Yes,10,82,Yes,0,Public,Negative,1,Yes,High School,Moderate,Male,62
19,96,Yes,5,70,Yes,0,Public,Positive,2,No,High School,Far,Male,66
17,72,Yes,5,66,Yes,2,Public,Negative,3,No,College,Near,Male,65
8,99,Yes,6,83,Yes,2,Public,Positive,4,Yes,Postgraduate,Near,Male,70
24,71,Yes,10,93,Yes,2,Private,Positive,2,Yes,College,Near,Female,69
14,98,Yes,7,84,Yes,3,Public,Neutral,3,No,High School,Near,Female,70
21,62,No,8,73,Yes,2,Private,Negative,2,No,College,Near,Female,66
32,88,Yes,7,83,Yes,1,Private,Positive,4,No,Postgraduate,Near,Male,73
14,81,No,4,85,Yes,3,Public,Positive,4,No,Postgraduate,Moderate,Female,69
5,79,Yes,9,89,Yes,3,Private,Neutral,3,No,College,Near,Female,66
18,69,Yes,8,65,Yes,4,Public,Neutral,4,No,High School,Far,Male,65
27,88,No,7,56,Yes,2,Public,Neutral,4,No,Postgraduate,Near,Female,70
32,68,No,10,84,Yes,0,Private,Positive,2,No,Postgraduate,Far,Male,70
13,82,No,6,56,Yes,2,Public,Neutral,4,No,Postgraduate,Near,Male,67
23,70,Yes,7,73,Yes,1,Private,Positive,3,No,Postgraduate,Near,Male,68
17,98,Yes,6,62,Yes,1,Private,Neutral,2,No,College,Near,Female,68
19,61,No,9,67,Yes,0,Public,Negative,2,No,College,Far,Female,61
36,68,Yes,8,74,Yes,2,Public,Negative,3,No,High School,Near,Male,70
11,70,No,7,95,Yes,0,Public,Negative,5,No,College,Moderate,Male,65
22,77,Yes,5,84,No,3,Public,Positive,2,No,High School,Moderate,Male,66
23,69,Yes,6,59,Yes,3,Public,Neutral,3,No,Postgraduate,Moderate,Male,67
27,80,Yes,5,94,Yes,3,Public,Negative,3,No,High School,Near,Male,69
21,95,No,9,75,Yes,1,Public,Neutral,2,No,College,Far,Male,69
22,88,Yes,5,60,Yes,1,Public,Neutral,2,No,High School,Moderate,Male,67
18,83,No,9,76,Yes,0,Private,Neutral,4,No,High School,Near,Female,66
22,64,Yes,9,60,Yes,1,Private,Neutral,2,No,High School,Near,Male,63
18,88,No,6,68,Yes,0,Public,Neutral,4,No,High School,Far,Female,67
24,67,Yes,6,90,Yes,0,Public,Neutral,1,No,College,Far,Male,64
18,91,No,6,83,Yes,2,Private,Neutral,4,No,High School,Near,Male,68
22,70,Yes,8,74,Yes,2,Public,Negative,2,No,,Moderate,Male,65
20,77,No,9,61,Yes,2,Public,Neutral,3,No,High School,Near,Male,65
27,74,Yes,9,64,No,1,Public,Neutral,3,No,High School,Near,Male,65
20,94,Yes,6,99,Yes,0,Public,Negative,4,No,College,Near,Female,70
9,65,Yes,9,67,Yes,1,Public,Neutral,3,No,High School,Near,Female,62
28,83,No,9,81,Yes,0,Public,Neutral,4,No,High School,Moderate,Male,68
15,66,Yes,7,75,Yes,0,Public,Negative,3,No,College,Near,Male,62
16,88,Yes,7,51,Yes,0,Public,Positive,3,No,College,Near,Female,68
16,96,Yes,9,97,Yes,0,Private,Neutral,5,No,College,Near,Male,72
28,77,Yes,9,54,Yes,1,Public,Positive,3,No,Postgraduate,Near,Female,70
7,80,No,9,83,No,3,Public,Neutral,3,No,High School,Far,Female,62
39,97,Yes,10,91,Yes,2,Public,Positive,3,No,High School,Moderate,Female,79
26,81,Yes,8,87,Yes,2,Public,Neutral,1,No,Postgraduate,Near,Male,73
21,80,Yes,7,90,Yes,1,Public,Negative,2,No,College,Far,Male,68
20,83,Yes,9,87,Yes,0,Public,Neutral,2,No,High School,Near,Male,68
22,88,Yes,10,72,Yes,2,Public,Neutral,2,No,High School,Moderate,Female,69
23,64,Yes,6,95,Yes,1,Public,Positive,2,Yes,College,Far,Female,63
24,93,Yes,7,96,No,5,Public,Negative,4,No,Postgraduate,Near,Female,74
23,77,Yes,5,72,Yes,2,Public,Negative,5,No,College,Moderate,Female,69
21,63,No,8,74,Yes,0,Public,Negative,3,No,High School,Near,Female,61
19,91,Yes,8,74,Yes,4,Public,Neutral,2,Yes,Postgraduate,Near,Female,69
19,75,No,6,64,Yes,2,Public,Neutral,3,No,High School,Near,Female,64
19,64,Yes,9,56,Yes,2,Public,Positive,4,No,Postgraduate,Far,Female,63
27,85,No,6,63,Yes,1,Public,Negative,2,No,College,Near,Male,68
24,95,Yes,6,92,Yes,2,Public,Neutral,3,No,High School,Far,Male,72
2,96,Yes,9,77,Yes,3,Public,Neutral,2,No,High School,Far,Female,65
24,98,No,6,93,No,2,Public,Positive,4,No,College,Near,Male,69
21,95,No,5,87,Yes,2,Private,Neutral,4,No,High School,Near,Male,70
20,60,Yes,8,67,Yes,1,Public,Neutral,4,No,Postgraduate,Moderate,Female,63
18,75,Yes,7,59,Yes,0,Public,Positive,2,Yes,High School,Near,Female,62
27,93,Yes,9,78,Yes,1,Public,Positive,2,No,Postgraduate,Near,Female,72
26,75,No,8,97,Yes,1,Public,Neutral,4,No,High School,Far,Male,69
15,84,No,4,92,Yes,2,Public,Negative,3,No,High School,Moderate,Female,66
22,84,Yes,9,88,Yes,2,Private,Neutral,4,No,Postgraduate,Near,Male,71
14,75,No,10,88,Yes,2,Private,Negative,3,No,College,Moderate,Female,62
12,96,Yes,9,76,Yes,2,Public,Positive,2,No,High School,Near,Male,68
16,80,No,9,58,Yes,0,Public,Neutral,2,No,High School,Near,Female,63
25,79,Yes,7,64,Yes,0,Public,Neutral,3,No,College,Far,Female,66
26,100,Yes,6,79,Yes,1,Public,Positive,3,No,College,Moderate,Male,75
23,80,Yes,7,66,Yes,1,Private,Positive,4,No,College,Near,Female,69
24,67,No,8,89,Yes,2,Private,Positive,3,No,High School,Near,Female,68
23,81,No,8,69,Yes,5,Public,Negative,2,No,High School,Moderate,Male,69
16,93,No,6,56,Yes,2,Public,Positive,4,No,High School,Near,Male,67
23,91,Yes,6,89,Yes,3,Private,Negative,3,No,Postgraduate,Near,Male,73
25,92,Yes,5,85,Yes,1,Public,Negative,1,No,College,Near,Male,71
25,88,Yes,8,63,Yes,2,Public,Positive,3,No,High School,Moderate,Female,71
27,70,No,6,99,Yes,2,Private,Neutral,2,No,High School,Near,Female,68
24,94,No,7,70,Yes,1,Public,Neutral,1,No,High School,Near,Male,70
22,96,Yes,10,84,Yes,1,Public,Negative,3,No,High School,Near,Male,71
26,68,No,8,96,Yes,1,Public,Neutral,2,No,High School,Near,Male,69
20,65,No,7,58,No,3,Private,Neutral,4,No,High School,Near,Male,63
15,99,Yes,8,94,Yes,2,Private,Neutral,3,No,Postgraduate,Near,Male,71
19,95,Yes,9,85,No,2,Public,Negative,3,No,College,Near,Male,69
16,96,Yes,5,58,Yes,2,Public,Positive,5,No,Postgraduate,Moderate,Male,71
16,95,No,6,83,Yes,2,Private,Neutral,3,No,High School,Near,Female,68
19,82,No,7,94,Yes,1,Public,Positive,3,No,High School,Near,Female,68
15,86,No,6,90,Yes,0,Public,Neutral,3,No,Postgraduate,Far,Male,66
18,82,No,7,88,Yes,3,Public,Negative,3,No,College,Moderate,Female,67
9,62,Yes,5,58,Yes,0,Private,Positive,5,No,College,Moderate,Female,59
21,90,No,8,60,Yes,1,Public,Negative,2,No,College,Near,Female,66
20,80,No,6,77,Yes,0,Private,Negative,3,No,High School,Near,Male,64
15,86,No,7,79,Yes,1,Public,Neutral,3,Yes,High School,Moderate,Female,64
24,80,Yes,7,97,Yes,0,Private,Neutral,4,No,High School,Moderate,Female,69
26,80,No,8,73,Yes,1,Public,Neutral,3,No,High School,Near,Male,69
10,67,No,4,65,No,3,Public,Positive,3,No,High School,Near,Male,61
15,71,No,8,60,Yes,0,Private,Negative,3,No,High School,Far,Female,62
15,66,No,7,53,Yes,2,Public,Negative,3,No,College,Near,Female,61
14,68,Yes,8,53,Yes,1,Private,Positive,2,No,College,Near,Female,63
25,99,No,5,79,Yes,2,Public,Positive,4,No,College,Near,Female,71
19,66,Yes,8,59,Yes,1,Public,Positive,2,No,Postgraduate,Moderate,Female,65
18,71,Yes,9,93,Yes,1,Private,Neutral,4,No,College,Moderate,Male,68
8,84,No,7,80,Yes,1,Public,Positive,4,No,High School,Moderate,Male,67
24,84,Yes,6,93,Yes,2,Public,Neutral,1,No,High School,Near,Female,70
13,66,Yes,6,71,Yes,3,Public,Neutral,3,No,High School,Near,Male,64
20,92,No,8,80,Yes,0,Private,Neutral,3,No,College,Near,Male,71
22,91,Yes,8,76,Yes,2,Public,Neutral,3,No,College,Moderate,Female,71
28,69,No,8,99,Yes,0,Private,Negative,3,No,High School,Moderate,Female,67
12,72,Yes,7,90,Yes,0,Public,Positive,3,No,Postgraduate,Far,Male,63
2,98,Yes,7,80,Yes,2,Public,Neutral,1,No,High School,Near,Male,66
21,93,Yes,7,80,Yes,3,Public,Neutral,1,No,High School,Moderate,Male,70
31,88,No,6,62,Yes,2,Private,Positive,4,No,High School,Near,Male,70
27,63,Yes,8,87,Yes,3,Private,Positive,3,No,High School,Near,Female,67
21,77,No,7,99,Yes,3,Public,Neutral,3,No,Postgraduate,Near,Male,69
17,82,No,9,56,Yes,3,Public,Positive,2,No,High School,Near,Female,66
25,67,No,9,82,Yes,1,Public,Positive,3,No,Postgraduate,Far,Female,67
14,78,Yes,7,76,Yes,0,Public,Negative,2,Yes,College,Near,Female,65
23,84,Yes,8,93,Yes,1,Public,Positive,3,No,Postgraduate,Far,Male,72
23,73,No,6,50,Yes,1,Public,Positive,3,No,College,Near,Male,68
26,91,Yes,7,57,Yes,3,Public,Negative,3,No,College,Near,Male,72
37,94,Yes,8,52,Yes,1,Private,Positive,3,No,Postgraduate,Near,Male,76
22,73,Yes,5,58,Yes,4,Public,Positive,3,Yes,College,Near,Female,65
17,94,No,8,85,Yes,1,Public,Positive,4,No,High School,Near,Male,68
20,64,Yes,6,57,Yes,3,Public,Neutral,4,No,College,Near,Female,65
9,94,Yes,6,81,Yes,0,Public,Positive,3,No,High School,Near,Male,66
16,66,No,6,93,Yes,7,Public,Negative,2,No,High School,Far,Male,63
18,63,No,7,52,Yes,2,Public,Positive,3,No,Postgraduate,Moderate,Female,63
17,86,Yes,5,51,Yes,2,Private,Neutral,2,No,Postgraduate,Moderate,Male,66
21,79,Yes,8,99,Yes,2,Public,Positive,4,No,High School,Near,Male,69
15,96,Yes,7,84,Yes,3,Public,Positive,1,No,Postgraduate,Near,Male,72
27,75,Yes,10,57,Yes,3,Public,Negative,3,No,High School,Near,Male,66
20,71,Yes,7,65,No,2,Public,Negative,4,No,High School,Moderate,Female,64
20,80,Yes,8,99,Yes,0,Private,Positive,3,No,High School,,Male,67
18,78,Yes,6,61,Yes,1,Private,Positive,5,No,High School,Near,Male,67
21,74,Yes,5,88,Yes,1,Public,Neutral,1,No,College,Near,Male,66
25,88,Yes,8,62,Yes,2,Public,Neutral,2,No,High School,Near,Female,68
15,90,No,5,70,Yes,0,Private,Neutral,2,No,High School,Moderate,Male,65
16,94,Yes,8,94,Yes,2,Private,Negative,3,No,High School,Near,Male,71
18,99,Yes,10,51,Yes,1,Public,Neutral,4,No,Postgraduate,Near,Male,71
12,71,Yes,8,65,Yes,1,Private,Neutral,2,No,High School,Moderate,Male,62
15,89,Yes,8,74,Yes,2,Public,Positive,2,No,College,Near,Male,69
17,76,No,7,81,Yes,4,Private,Neutral,2,No,High School,Near,Male,65
25,87,No,6,51,Yes,3,Public,Neutral,3,No,Postgraduate,Near,Male,70
22,79,Yes,7,71,Yes,2,Private,Neutral,2,No,College,Moderate,Male,66
21,100,No,6,67,Yes,0,Public,Positive,3,No,High School,Far,Male,70
25,89,No,5,51,Yes,2,Private,Negative,2,No,Postgraduate,Moderate,Female,70
19,98,Yes,7,68,Yes,1,Private,Neutral,4,No,High School,Moderate,Female,69
22,93,Yes,9,97,Yes,2,Public,Neutral,3,Yes,High School,Near,Male,71
19,96,No,5,64,Yes,1,Public,Neutral,3,No,High School,Near,Male,69
22,93,No,9,79,Yes,2,Public,Positive,2,No,Postgraduate,Near,Female,73
17,78,Yes,9,65,Yes,1,Public,Neutral,4,No,High School,Moderate,Female,65
5,70,Yes,8,55,Yes,3,Public,Neutral,3,No,High School,Near,Male,62
19,75,No,8,64,Yes,2,Public,Negative,5,No,Postgraduate,Moderate,Female,67
29,61,Yes,7,74,Yes,1,Public,Neutral,3,No,Postgraduate,Moderate,Male,65
26,81,No,7,65,Yes,1,Public,Neutral,3,No,High School,Far,Male,65
26,80,Yes,6,81,Yes,0,Public,Neutral,2,No,College,Near,Female,70
27,81,Yes,7,97,Yes,1,Public,Neutral,2,No,College,Near,Female,70
21,99,Yes,7,53,Yes,0,Public,Neutral,4,No,Postgraduate,Near,Female,71
